KEY_NAME;ROOT_ELEMENT;KEY_PATH;KEY_REQ
Farm_Succeedor_INN;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/@ИНН;
Farm_Succeedor_FullName;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/@НаимЮЛПолн;
Tax_RegDate;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/@ДатаПостУч;
Tax_AuthorityCode;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/СвНО/@КодНО;
Tax_AuthorityName;/EGRIP/СвИП;/EGRIP/СвИП/СвУчетНО/СвНО/@НаимНО;
Pension_RegNumber;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/@РегНомПФ;
Pension_RegDate;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/@ДатаРег;
Pension_AuthorityCode;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/СвОргПФ/@КодПФ;
Pension_AuthorityName;/EGRIP/СвИП;/EGRIP/СвИП/СвРегПФ/СвОргПФ/@НаимПФ;
Social_RegNumber;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/@РегНомФСС;
Social_RegDate;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/@ДатаРег;
Social_AuthoiryCode;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/СвОргФСС/@КодФСС;
Social_AuthorityName;/EGRIP/СвИП;/EGRIP/СвИП/СвРегФСС/СвОргФСС/@НаимФСС;
RegionTypeName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Регион/@ТипРегион;
RegionName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Регион/@НаимРегион;
AreaTypeName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Район/@ТипРайон;
AreaName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Район/@НаимРайон;
CityTypeName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Город/@ТипГород;
CityName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Город/@НаимГород;
SettlementTypeName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/НаселПункт/@ТипНаселПункт;
SettlementName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/НаселПункт/@НаимНаселПункт;
  StreetTypeName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Улица/@ТипУлица;
  StreetName;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/Улица/@НаимУлица;
  PostIndex;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@Индекс;
  KLADR_Code;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@КодАдрКладр;
House;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@Дом;
Building1;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@Корп;0
Building2;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@Корпус;0
Flat;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@Кварт;
RegionCode;/EGRIP/СвИП;/EGRIP/СвИП/СвАдрМЖ/АдресРФ/@КодРегион;
Status_Code;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/СвСтатус/@КодСтатус;
Status_Name;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/СвСтатус/@НаимСтатус;
Status_EffectiveDate;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/ГРНИПДата/@ДатаЗаписи;
Status_GRNIP;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/ГРНИПДата/@ГРНИП;
Suspend_Way_Code;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвСтатус/@КодСтатус;
Suspend_Way_Name;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвСтатус/@НаимСтатус;
Suspend_Date;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвСтатус/@ДатаПрекращ;
Suspend_EffectiveDate;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/ГРНИПДата/@ДатаЗаписи;
Suspend_GRNIP;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/ГРНИПДата/@ГРНИП;
Succeedor_EffectiveDate1;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДата/@ДатаЗаписи;0
Succeedor_EffectiveDate2;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДатаИспр/@ДатаЗаписи;0
Succeedor_GRNIP1;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДата/@ГРНИП;0
Succeedor_GRNIP2;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/ГРНИПДатаИспр/@ГРНИП;0
Succeedor_OGRN;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/@ОГРН;
Succeedor_INN;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/@ИНН;
Succeedor_FullName;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/СвНовЮЛ/@НаимЮЛПолн;
FL_EGRIP_Date_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвФЛ/ГРНИПДата/@ДатаЗаписи;
FL_EGRIP_Date_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвФЛ/ГРНИПДатаИспр/@ДатаЗаписи;
FL_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвФЛ/ГРНИПДата/@ГРНИП;
FL_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвФЛ/ГРНИПДатаИспр/@ГРНИП;
CIT_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвГражд/ГРНИПДата/@ДатаЗаписи;
CIT_EffectiveDate_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвГражд/ГРНИПДатаИспр/@ДатаЗаписи;
CIT_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвГражд/ГРНИПДата/@ГРНИП;
CIT_GRNIP_Corr;/EGRIP/СвИП;/EGRIP/СвИП/СвГражд/ГРНИПДатаИспр/@ГРНИП;
Status_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/ГРНИПДата/@ДатаЗаписи;
Status_GRNIP_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвСтатус/ГРНИПДата/@ГРНИП;
Suspend_EffectiveDate_Init;/EGRIP/СвИП;/EGRIP/СвИП/СвПрекращ/ГРНИПДата/@ДатаЗаписи;
